,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
0,UCRbP2fAbCBOMiaci7tz_sAA,qSZ4h7YSGnQ,Hyundai | Celebrating 20 Years of Brilliant Moments,2018-06-27 07:23:46,"In the journey called life, there are a few moments that are treasured for a lifetime. Hyundai celebrates 20 Years of Brilliant Moments. Join this celebration by sending in your stories to http://www.brilliantmoments.in/ and get a chance to Win exciting prizes.  Top 3 Lucky Winners to Win a Hyundai car  Top 10 Winners to Win a Domestic Holiday for Couples and Meet & Greet with Shah Rukh Khan  1000 Lucky Winners to get Gift Vouchers  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/1081609...   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyun...   Standard YouTube Licence  Director: Gajraj Rao  DOP: Bijitesh De Music Director: Anand Bajpai  Singer: Romi Gill  Lyricist: Sammy Ghai Producers: Subrat Ray",222461168,152669,76358,0,2724
1,UCRbP2fAbCBOMiaci7tz_sAA,cJ1kUHrhk0A,Hyundai | Celebrating 20 Years of Brilliant Moments | Duty,2018-07-17 13:37:34,"In the journey called life, very few moments have the power to last a lifetime. #Hyundai celebrates 20 Years of #BrilliantMoments. Join this celebration by sending in your stories of SANTRO, ACCENT and i10 to www.brilliantmoments.in and we could turn it into our next film.  Also, get a chance to Win more exciting prizes.  ✓Top 3 Lucky Winners to Win a Hyundai car ✓ Top 10 Winners to Win a Domestic Holiday for Couples and Meet & Greet with Shah Rukh Khan ✓1000 Lucky Winners to get Gift Vouchers  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin  Director: Gajraj Rao  DOP: Bijitesh De Music Director: Anand Bajpai  Singer: Anand Bajpai  Producers: Subrat Ray",203047448,194044,58705,0,7537
2,UC5f97D60yHa7UE9rFfbej8g,J01mqggN0h8,Hyundai “Shackleton's Return”- Main film,2017-04-19 23:00:21,"A hundred years after Sir Ernest Shackleton's Endurance Expedition, Patrick Bergel, the great-grandson of Shackleton, along with Hyundai, takes on Shackleton’s unfinished dream. Visit our website to find out more about their story: http://shackletonsreturn.hyundai.com",100932266,6785,1224,0,560
3,UC5f97D60yHa7UE9rFfbej8g,3EOAXrTrsOE,Hyundai : A Message to Space,2015-04-10 02:58:45,"Stephanie from Houston misses her astronaut father working at the International Space Station. Watch how her special message, written by 11 Hyundai Genesis, was delivered to her father in space. This message was officially acknowledged as “The largest tire track image” by the Guinness World Records.   Visit our website to find out more about their story : http://www.amessagetospace.com",72115968,29954,2093,0,1739
4,UCx_eAZKDceT1yaY4bRo636A,B5FzKB5TW0Y,The Elevator | 2019 Super Bowl Commercial | Hyundai,2019-01-30 05:00:04,"In this year’s Super Bowl commercial, see how we take the pain out of car shopping with Hyundai Shopper Assurance. Transparent pricing, streamlined purchasing, a 3 Day Worry-Free Exchange and test drives that come to you. It’s car shopping made better.    Learn More: https://hyundaius.co/2HhKZIV  Watch the extended version here: https://bit.ly/2sYWATd  SUBSCRIBE to Hyundai: https://hyundaius.co/2vH8pyd From hope to the hilarity, Hyundai always brings its A-game to the Super Bowl. Check out the Hyundai ads from the last two years.   About Hyundai:  Welcome to the official Hyundai YouTube channel. Subscribe to see our vehicle tours, walkarounds, commercials, how-to's and latest videos: https://hyundaius.co/2vH8pyd  Follow Hyundai: WEBSITE: https://hyundaius.co/2ANCpOR FACEBOOK: https://hyundaius.co/2Kvbk2h TWITTER: https://hyundaius.co/2Kwqd4E INSTAGRAM: https://hyundaius.co/2KDbh4C  HyundaiUSA https://www.youtube.com/HyundaiUSA  #Hyundai #SuperBowlAds #JasonBateman",38803952,7782,1477,0,1426
5,UCRbP2fAbCBOMiaci7tz_sAA,cfFEKfGZwZI,Hyundai | The All New SANTRO | India’s Favourite Family Car | Official TVC,2018-10-23 08:41:00,"Hyundai presents India’s Favourite Family Car – The #AllNewSANTRO. Introductory price starting at 3.89 Lacs for first 50,000 bookings only. Experience Comfort and Convenience for the complete family with 25 New Age Features. Join India in celebrating the launch of this Modern Stylish Tall Boy! Visit your nearest dealership and Test Drive today. For more details visit  http://bit.ly/AllNewSANTRO  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",26302534,1601,290,0,113
6,UCx_eAZKDceT1yaY4bRo636A,DMH0IUsrUCQ,Hyundai Elantra Introduction | 2018 Elantra | Hyundai,2017-09-13 22:21:50,"The following 2018 Hyundai Elantra has been approved for audiences who want great safety and technology features that are actually affordable.   Learn more about the Elantra at https://www.hyundaiusa.com/elantra/comparison.aspx  SUBSCRIBE to Hyundai: https://hyundaius.co/2vH8pyd  About Hyundai:  Welcome to the official Hyundai YouTube channel. Subscribe to see our vehicle tours, walkarounds, commercials, how-to's and latest videos: https://hyundaius.co/2vH8pyd    Follow Hyundai: WEBSITE: https://hyundaius.co/2ANCpOR FACEBOOK: https://hyundaius.co/2Kvbk2h TWITTER: https://hyundaius.co/2Kwqd4E INSTAGRAM: https://hyundaius.co/2KDbh4C  Hyundai Elantra Trailer | 2018 Elantra | Hyundai https://www.youtube.com/watch?v=DMH0IUsrUCQ  HyundaiUSA https://www.youtube.com/HyundaiUSA  #HyundaiElantra #Hyundai #HyundaiUSA",20757729,163,18,0,13
7,UCRbP2fAbCBOMiaci7tz_sAA,o4qthVfQfw8,Hyundai | The All New SANTRO | India’s Favourite Family Car | Teaser TVC,2018-10-10 02:29:11,"Hyundai unveils India’s Favourite Family Car – The #AllNewSANTRO, Coming soon. The Modern Stylish Tall Boy packed with 25 New-age features is now Bigger, Wider and More Spacious available in AMT (Smart Auto) and CNG (Factory Fitted). Bookings Open Online till 22nd October 2018. Be one of the first 50,000 to avail the Introductory Price and also get : •   Assured early delivery •   100% on road finance with Extended Warranty •   Zero processing fee •   Zero cancellation charges. T&C Apply.  For more updates  Subscribe: https://goo.gl/XsoGVO   Twitter: https://twitter.com/HyundaiIndia   Facebook: https://www.facebook.com/HyundaiIndia  Google+: https://plus.google.com/u/0/b/108160921162004930270/+hyundaiindia/about   Instagram: https://instagram.com/hyundaiindia/   LinkedIn: https://www.linkedin.com/company/hyundai-motor-india-ltd?trk=nav_account_sub_nav_company_admin",12231473,1540,194,0,165
8,UChNfnSsTRmpBlQZmHGOCEcA,fB-WpkLBRy0,NEW 2018 Hyundai i30 - Exterior & Interior,2018-01-18 12:00:02,SUBSCRIBE more videos are coming!Stay Tuned : https://www.youtube.com/channel/UChNfnSsTRmpBlQZmHGOCEcA?sub_confirmation=1  2019 Hyundai i30  Hyundai i30 2018 in depth review Hyundai i30 2018 interior,2238933,9992,1533,0,282
9,UCMY1jypR-gmUTluZA5mfT-g,YpPNVSQmR5c,IAA 2011 Hyundai new  generation i30 and Martin Winterkorn (Chairman of the Volkswagen AG),2011-09-15 09:45:12,Hyundai at IAA 2011;  Martin Winterkorn (Chairman of the Volkswagen AG) is personally studying the new generation of the Hyundai i30 at the Motorshow in Frankfurt IAA 2011,2114703,1195,99,0,485
