,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
0,UCObftjRUXG4toiX6-lXvn5Q,S4aw2_8ToRA,Mahindra Marazzo - THE TVC,2018-09-04 07:04:50,"Catch the thrilling new TV Ad for the #MahindraMarazzo. Check out how our designers got inspired to create the bold, streamlined design of Marazzo. Know more http://bit.ly/PresentingTheMahindraMarazzo",44817797,1412,202,0,
1,UCfo0AlxPIc6LLIF8PWhVbVg,kkqoFUsoxaQ,Experience Formula E Excitement In 360° - First Time With Google Daydream | Mahindra Racing,2018-03-13 16:52:18,"Mahindra Racing creates a never seen before 360° video, using Google's Jump Camera at Marrakesh. Celebrity Influencer Gul Panag & Tittar Lodge Productions India conceptualised & produced this pioneering piece of content with Google USA & Panedia Productions Australia.  #MahindraRacing #FormulaE #ElectricCarRacing  About Mahindra Racing Team: We are extremely passionate about extreme machines that race in extreme conditions. We are passioneers.  Subscribe to Our Channel: https://www.youtube.com/user/mahindraracing?sub_confirmation=1  Visit Our Site To Know More: http://www.mahindraracing.com Join Us On Facebook: https://www.facebook.com/MahindraRacing Follow Us On Twitter: https://twitter.com/MahindraRacing Follow Us On Instagram: https://instagram.com/MahindraRacing",30033846,184,48,0,15
2,UCbNNiJzzLQWW1umv3soLhAg,eDWAyOJsOig,#LadkiHaathSeNikalJaayegi - Mahindra & Nanhi Kali | Empowering the Girl Child | Mahindra Rise,2018-07-30 12:40:44,"It’s time we change the meaning of #LadkiHaathSeNikalJaayegi. At Mahindra, we are focusing our efforts on educating and empowering the girl child. Since 1997, Mahindra, along with Project Nanhi Kali, has educated over 350,000 girls across India. Watch the video to know more about our initiatives.  Join us and together we can #RiseForGood - http://bit.ly/DonatetoNK  #MahindraRise  About Mahindra Rise: A technology & innovation-led, global, federation of companies, that provides a wide range of products, services & possibilities, enabling people to Rise.  For more information visit our website: www.mahindra.com/riseforgood  Subscribe to Our Channel: https://www.youtube.com/user/MahindraRise?sub_confirmation=1  Facebook: https://www.facebook.com/mahindrarise Instagram: https://www.instagram.com/people_who_rise/ Linkedin: https://www.linkedin.com/company/mahindrarise/ Twitter: https://twitter.com/MahindraRise",22064332,6936,149,0,294
3,UCfo0AlxPIc6LLIF8PWhVbVg,72qxC6piqSE,Another Victory for Mahindra | Marrakesh E-Prix Highlights | Formula E | Mahindra Racing,2018-01-16 16:40:03,"Felix Rosenqvist bags his second consecutive win at the Marrakesh E-Prix 2018, putting us in the lead in both team and driver standings.  #MahindraRacing #FormulaE #MarrakeshEPrix   About Mahindra Racing Team: We are extremely passionate about extreme machines that race in extreme conditions. We are passioneers.  Subscribe to Our Channel: https://www.youtube.com/user/mahindraracing?sub_confirmation=1  Visit Our Site To Know More: http://www.mahindraracing.com Join Us On Facebook: https://www.facebook.com/MahindraRacing Follow Us On Twitter: https://twitter.com/MahindraRacing Follow Us On Instagram: https://instagram.com/MahindraRacing",9595255,103,53,0,8
4,UCXE_CDNbKyo66WXi5CynNig,yL8OyiDKWIo,Tractor vs Tractor : Swaraj 744 FE vs Mahindra Arjun 555/ Tractor Tochan & Pulling / Come To Village,2017-12-05 03:49:36,"Tractor Tochan and Tractor vs Tractor At my village two young drivers pulling tractor like tractor vs tractor and we are using two tractor tochan swaraj 744 fe and Mahindra Arjun 555.   We are conducting race in farming land that time raining with mud. Very interesting tractor tochan and tractor pulling, finally Swaraj 744 tractor won the pulling race.  #Tractor  #swaraj744 #cometovillage #tractorvideos   Mahindra JIVO 245 DI 4WD Tractor : https://youtu.be/y4n0bAj5-zw  https://youtu.be/7kVULubh3kU  JCB Stunt Video  https://youtu.be/A_m1-BahXyU  Village Girl Tractor Videos  https://goo.gl/eU4Ltq https://goo.gl/17EiD7  Tractor Stuck videos  https://goo.gl/3AXhzV https://goo.gl/tEW8or https://goo.gl/v6r8nv https://goo.gl/NN6YQA Tractor Racing Video   https://goo.gl/2BDEkZ https://goo.gl/NhkwZm  LED Light Fittings for Swaraj 744 FE Tractor https://youtu.be/CZ9RKCABej0  India's first time launch Swaraj 963 Fe tractor harvester / India’s no1 tractor harvester  https://youtu.be/XSZq_QOG1mo  lorry accident with sugarcane load / truck accident with heavy load sugarcane https://youtu.be/HNiK8BtYlDo  Bike Racing Video  https://goo.gl/1Xn3nV    Bike vs Bike Tochan Videos  https://goo.gl/8QrYkK    Tractor Tochan Video Pujabi Style  https://goo.gl/hqGGpR https://goo.gl/fjxSB1    Youtube Page : https://www.youtube.com/c/ComeToVillage  Facebook  Page : https://www.facebook.com/cometovillage  Blog : https://cometovillage.blogspot.in  Subscribe Button https://www.youtube.com/c/ComeToVillage/UCXE_CDNbKyo66WXi5CynNig?sub_confirmation=1",9439595,9877,4779,0,339
5,UCfo0AlxPIc6LLIF8PWhVbVg,6jYGyNIgFns,Mahindra Blueprints | Episode 2 | Formula E Steering Wheel | Electric Car Racing | Mahindra Racing,2018-05-25 14:03:40,"In Episode 2 of Mahindra Blueprints, it's time to analyse the evolution of the Formula E steering wheel between Season 1 and Season 4.  #MahindraRacing #FormulaE #Passioneering  About Mahindra Racing Team: We are extremely passionate about extreme machines that race in extreme conditions. We are passioneers.  Subscribe to Our Channel: https://www.youtube.com/user/mahindraracing?sub_confirmation=1  Visit Our Site To Know More: http://www.mahindraracing.com Join Us On Facebook: https://www.facebook.com/MahindraRacing Follow Us On Twitter: https://twitter.com/MahindraRacing Follow Us On Instagram: https://instagram.com/MahindraRacing",8775219,65,55,0,15
6,UCfo0AlxPIc6LLIF8PWhVbVg,i77w218MsqI,Mahindra Blueprints | Episode 1 | Formula E Powertrain | Electric Car | Mahindra Racing,2018-04-13 16:28:11,"Mahindra Blueprints is back. In Episode 1, we look at the evolution of the Mahindra powertrain from Season 1 to Season 4.   #Passioneering #MahindraRacing #FormulaE #PowerTrain #MahindraBlueprints  About Mahindra Racing Team: We are extremely passionate about extreme machines that race in extreme conditions. We are passioneers.  Subscribe to Our Channel: https://www.youtube.com/user/mahindraracing?sub_confirmation=1  Visit Our Site To Know More: http://www.mahindraracing.com Join Us On Facebook: https://www.facebook.com/MahindraRacing Follow Us On Twitter: https://twitter.com/MahindraRacing Follow Us On Instagram: https://instagram.com/MahindraRacing",8625858,95,28,0,25
7,UCz9PtRevgLy6E0MUClX1wdg,CPgUwQb6Aoo,New Bolero Power+ TV Ad,2016-09-24 06:51:49,,8175617,441,60,0,
8,UCfo0AlxPIc6LLIF8PWhVbVg,iD_f7qYFEWY,Mahindra Blueprints | Episode 3 | Formula E Cooling | Electric Car Racing | Mahindra Racing,2018-06-28 15:10:02,"How does cooling in a Formula E race car work? In Episode 3 of Mahindra Blueprints, it's time to dive into the details.  #MahindraRacing #FormulaE #Passioneering  About Mahindra Racing Team: We are extremely passionate about extreme machines that race in extreme conditions. We are passioneers.  Subscribe to Our Channel: https://www.youtube.com/user/mahindraracing?sub_confirmation=1  Visit Our Site To Know More: http://www.mahindraracing.com Join Us On Facebook: https://www.facebook.com/MahindraRacing Follow Us On Twitter: https://twitter.com/MahindraRacing Follow Us On Instagram: https://instagram.com/MahindraRacing",8080965,42,19,0,9
9,UCR6G0KGiJK-gyX-bftWXrmA,jmcGOL1KdLM,Mahindra Tractor Manufacturing Video for Make in India Week,2016-03-27 03:44:26,"The video was shot for display in Mahindra's stall in the Make in India week program 2016. The video shows Mahindra's manufacturing prowess, innovative approach and sustainable efforts employed in its tractor manufacturing plant at Zaheerabad.",3987478,7687,1462,0,395
