,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
0,UCMV41gD04aZot3TmN0PFHsQ,DKL4X0PZz7M,First Aid Kit - My Silver Lining (Video),2014-05-13 07:00:01,"“My Silver Lining” from First Aid Kit’s new album STAY GOLD – available now. First Aid Kit Store: http://smarturl.it/FAK_StayGoldStore iTunes: http://smarturl.it/FAK_StayGold Amazon: http://smarturl.it/FAK_StayGoldAMZ Stream on Spotify: http://smarturl.it/FAK_StayGoldSp   Follow First Aid Kit:  http://www.thisisfirstaidkit.com/ http://www.facebook.com/firstaidkitofficial http://twitter.com/FirstAidKitBand  http://instagram.com/firstaidkit/   Director: Elliott Sellers Producer: Courtney Davies Exec Producer: Danielle Hinde Production Company: Doomsday Entertainment Director of Photography: Charlie Balch Production Designer: Tyler Jensen Editor: Elliott Sellers SFX: Elliott Sellers Stylist: Miss KK Hair: Candice Birns Makeup: Georgina Hamed  (C) 2014 Jagadamba, under exclusive license to Columbia Records, a Division of Sony Music Entertainment",26913481,188794,3953,0,5927
1,UCgAzLzRqbhv6Ipcf5_VuoMQ,uv37yxc51bE,Renaud - Toujours debout (Clip officiel),2016-02-26 10:54:44,Renaud - Nouvel album disponible: https://renaud.lnk.to/EditionCollectorDeluxeAY  - Inscrivez-vous à la newsletter officielle de Renaud : http://www.renaud-lesite.fr/ https://www.facebook.com/RenaudOfficiel,15421374,81438,6966,0,10811
2,UCgAzLzRqbhv6Ipcf5_VuoMQ,_YqzuE-5RE8,Renaud - Mistral gagnant (Clip officiel),2016-03-16 15:59:15,Renaud - Nouvel album disponible: http://smarturl.it/nouvelalbumrenaud - Inscrivez-vous à la newsletter officielle de Renaud : http://www.renaud-lesite.fr/ https://www.facebook.com/RenaudOfficiel,8802357,38472,2033,0,1795
3,UCjOl2AUblVmg2rA_cRgZkFg,EGUZJVY-sHo,Richard drives a F1 car round Silverstone - Top Gear - BBC,2008-11-08 01:55:20,Click here for HQ version https://www.youtube.com/watch?v=kUhB0JKjJrQ&list=UUjOl2AUblVmg2rA_cRgZkFg Richard takes the Renault R25 Formula 1 car for a spin round the legendary Silverstone track. Can he steel his nerves to complete 2 laps without destroying the very expensive vehicle?  Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear  Top Gear YouTube channel: http://www.youtube.com/topgear TopGear.com website: http://www.topgear.com  Top Gear Facebook: http://www.facebook.com/topgear Top Gear Twitter: http://twitter.com/BBC_topgear  This is a channel from BBC Worldwide who help fund new BBC programmes.,7225520,37383,749,0,4529
4,UCjOl2AUblVmg2rA_cRgZkFg,6eoUutOsZoQ,Renault Espace Convertible Challenge - Top Gear - BBC,2009-01-10 02:14:37,"May, Hammond and Clarkson attempt to build a Renault Espace Convertible capable of driving at high speed, through safari parks, and - most challenging of all - a carwash. Expect fires and destruction throughout!   Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear  Top Gear YouTube channel: http://www.youtube.com/topgear TopGear.com website: http://www.topgear.com  Top Gear Facebook: http://www.facebook.com/topgear Top Gear Twitter: http://twitter.com/BBC_topgear  This is a channel from BBC Worldwide who help fund new BBC programmes.",6338214,33803,712,0,2887
5,UCMV41gD04aZot3TmN0PFHsQ,DKL4X0PZz7M,First Aid Kit - My Silver Lining (Video),2014-05-13 07:00:01,"“My Silver Lining” from First Aid Kit’s new album STAY GOLD – available now. First Aid Kit Store: http://smarturl.it/FAK_StayGoldStore iTunes: http://smarturl.it/FAK_StayGold Amazon: http://smarturl.it/FAK_StayGoldAMZ Stream on Spotify: http://smarturl.it/FAK_StayGoldSp   Follow First Aid Kit:  http://www.thisisfirstaidkit.com/ http://www.facebook.com/firstaidkitofficial http://twitter.com/FirstAidKitBand  http://instagram.com/firstaidkit/   Director: Elliott Sellers Producer: Courtney Davies Exec Producer: Danielle Hinde Production Company: Doomsday Entertainment Director of Photography: Charlie Balch Production Designer: Tyler Jensen Editor: Elliott Sellers SFX: Elliott Sellers Stylist: Miss KK Hair: Candice Birns Makeup: Georgina Hamed  (C) 2014 Jagadamba, under exclusive license to Columbia Records, a Division of Sony Music Entertainment",26913481,188794,3953,0,5927
6,UCgAzLzRqbhv6Ipcf5_VuoMQ,uv37yxc51bE,Renaud - Toujours debout (Clip officiel),2016-02-26 10:54:44,Renaud - Nouvel album disponible: https://renaud.lnk.to/EditionCollectorDeluxeAY  - Inscrivez-vous à la newsletter officielle de Renaud : http://www.renaud-lesite.fr/ https://www.facebook.com/RenaudOfficiel,15421374,81438,6966,0,10811
7,UCgAzLzRqbhv6Ipcf5_VuoMQ,_YqzuE-5RE8,Renaud - Mistral gagnant (Clip officiel),2016-03-16 15:59:15,Renaud - Nouvel album disponible: http://smarturl.it/nouvelalbumrenaud - Inscrivez-vous à la newsletter officielle de Renaud : http://www.renaud-lesite.fr/ https://www.facebook.com/RenaudOfficiel,8802357,38472,2033,0,1795
8,UCvYI7HB4z9WjJ-s5zA6WaGg,C8U3vpY1miw,Renault CAPTUR - India's most stylish SUV,2017-12-06 12:59:55,The #RenaultCAPTUR comes with state-of-the-art technology features to create an experience that truly captures your senses.,7959283,8953,6592,0,
9,UCjOl2AUblVmg2rA_cRgZkFg,EGUZJVY-sHo,Richard drives a F1 car round Silverstone - Top Gear - BBC,2008-11-08 01:55:20,Click here for HQ version https://www.youtube.com/watch?v=kUhB0JKjJrQ&list=UUjOl2AUblVmg2rA_cRgZkFg Richard takes the Renault R25 Formula 1 car for a spin round the legendary Silverstone track. Can he steel his nerves to complete 2 laps without destroying the very expensive vehicle?  Subscribe for more awesome Top Gear videos: http://www.youtube.com/subscription_center?add_user=Topgear  Top Gear YouTube channel: http://www.youtube.com/topgear TopGear.com website: http://www.topgear.com  Top Gear Facebook: http://www.facebook.com/topgear Top Gear Twitter: http://twitter.com/BBC_topgear  This is a channel from BBC Worldwide who help fund new BBC programmes.,7225520,37383,749,0,4529
