,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
0,UCD4HVZBtNTg6oPQM2UdONsg,Y2HKBQMQmbw,Audi R8 X Kawasaki Ninja ZX10R X Suzuki GSXR1000,2013-05-28 22:39:24,"Filmed in 2011 - Brazilian Road  AUDI R8 V10 - Tuned with ECU, TCU, Exhaust and Filter - 600 HP SUZUKI GSXR1000 (SRAD) 2009 - 185 HP KAWASAKI NINJA ZX 10R 2008 - 188 HP",31572161,136517,30644,0,18286
1,UCHJSUG4MRcFszyC5qj7s7Uw,wrpRv1pyV6I,No Game No Life: Zero Movie Theme Song - THERE IS A REASON / Konomi Suzuki [ENG SUB],2017-07-11 14:15:09,LOLI SHELTER DISCORD: https://discord.io/lolishelter LOLICOP MERCH: https://kiranime.co/merch  THERE IT IS!!! THE THEME SONG FOR THE NO GAME NO LIFE MOVIE!  SONG: THERE IS A REASON / Konomi Suzuki  ANIME: No Game No Life: Zero  WALLPAPER: https://wall.alphacoders.com/big.php?i=818231  FOLLOW US: - Facebook: https://www.facebook.com/kiranimeyt - Twitter: https://twitter.com/kiranimeyt - Instagram: https://www.instagram.com/kiranimeyt - MyAnimeList: https://myanimelist.net/profile/kiranimeyt,14178475,72197,1282,0,3337
2,UCKm_XqwBamWfKBrwAZjmQGw,_kO3bR7q7pk,Элджей - Suzuki,2018-05-16 17:00:10,Written & Directed: Medet Shayakhmetov  Новый альбом «Sayonara Boy 143»  Listen on: https://lnk.to/143  Backstage: https://youtu.be/3uRuC_-6-jI  Сингл «Suzuki»  Listen on Apple Music: http://apple.co/2pIVsSx  Listen on Google Play: http://goo.gl/PnWva5 Listen on Boom: http://vk.cc/7SrNZs  8 MARCH - NOVOSIBIRSK @ EXPOCENTRE  RSRV Tickets: https://bit.ly/2BT1ZQY  Концерты: http://www.sayonaratour.ru  Мерч: https://sayonarashop.ru  Элджей on social media:  Website: http://www.sayonaraboy.ru VK: http://vk.com/sayonaraboy Facebook: http://www.facebook.com/sayonaraboy Twitter: http://twitter.com/saynaraboy Instagram: http://instagram.com/sayonaraboy Telegram: http://www.telegram.me/saynaraboy SoundCloud: http://soundcloud.com/eldzhey Gennius: https://genius.com/sayonaraboy YouTube: http://www.youtube.com/user/eldzejchannel  Booking: booking@sayonaraboy.ru  PR & Cooperation: pr@sayonaraboy.ru  Management: mgmnt@sayonaraboy.ru  Commercial: commercial@sayonaraboy.ru  ©143,14137243,193163,96609,0,35676
3,UCQBOMMdBm77k1QHNlN-2FhA,O_BDZakAZrc,Drifting a 240Hp Suzuki Hayabusa,2014-07-10 00:47:42,"Facebook : www.facebook.com/PFTCPAV Their mission in life? Blazing rubber and riding their bikes hard as hell. And after they've had their fun, take things to the next level of course by super charging these deadly machines of beauty. Is it normal that I got tears of joy watching this video? I would love to see how many people go try to ride their bikes like this now. Please put a cage on it, before you do and make sure you wear your helmet!  Watch below as these hooligans drift these INSANE High Powered bikes at high speeds and make sure you share on the Speed Society Facebook page so others can see the post as well. Facebook is changing things daily making it harder for us to get you sick car / speed related content.",13606617,52860,4787,0,1773
4,UC2VzKT6Jvt05AO2TDBVc_Fg,s2gHQ8IuKrY,Suzuki Gixxer 2018 Launch with Stunt Rider - ARAS GIBIEZA,2017-03-12 10:58:00,ARAS GIBIEZA - https://goo.gl/rsqkri    Photo credits : iklikk photography ( www.iklikk.com ),12344914,43469,5462,0,662
5,UCBqWtrtVaxJK2KDsdtmTnsQ,03XmdrpcnpE,RAIDER METHANOL vs SNIPER UNLEADED drag racing suzuki yamaha,2013-08-21 08:30:18,"Drag race of Suzuki Raider Belang FU 150 with Methanol race fuel versus Yamaha Sniper LC135 fueled with Standard Petron Unleaded Gasoline.   Suzuki raider is also called Satria FU150 in indonesia, Belang 150 in malaysia and Yamaha Sniper mx is also called Jupiter MX in indonesa, 135LC LC135 in Malaysia, Exciter in vietnam, X1r Spark 135 in thailand, Crypton X in greece",8182627,8258,2057,0,
6,UCnhg5EWpRH1R5JxxayLHayg,MxtgTqnCmRc,"Suzuki Hayabusa takes on Harley Davidson v rod-drag race,sound,acceleration and speed",2017-03-09 23:09:23,"The best of motorcycle racing.Modified Harley Davidson vs Suzuki GSXR 1300.Who's the fastest ? Pure sound,burnouts ,acceleration and top speed of most powerful motorbikes.Buy insurance before watch it.",8025119,21394,2395,0,927
7,UCSQCJRCQ9lfzqWkK252dXjA,GBCPN2jNPDg,850WHP Toyota Supra vs Suzuki GSX-R 1000 Rizla Edition,2009-07-14 12:31:52,Toyota Supra with massive power pulls against a big bike. was filmed @ 1/4 mile event in Germany. The Supra managed times in the 11´s @ this event. The GSXR managed times under 10sec! So there is no need to say the biker could´nt drive the bike right!!! Actually the Supra runs 10´s on 1/4 mile. Seriously we will try to arrange a rematch for the bike...So suscribe and see what happend next...,7700627,11825,580,0,4580
8,UCT8Rf6QQeFADwyyPTrGgT4Q,t_ttKSUYhps,Suzuki GSX 1300R Hayabusa vs GSX R-1000 vs Nissan GT-R,2012-03-18 21:24:12,Follow us: Youtube: https://www.youtube.com/user/DragTimesInfo/ Facebook https://www.facebook.com/dragtimes.ru Twitter: https://twitter.com/Dragtimes_ru Instagram: http://instagram.com/dragtimes/ VK: http://vk.com/dragtimes_ru Web-site: https://www.dragtimes.ru,6906018,9666,749,0,1206
9,UCiGbWwlGiC-bBffpU0HTunQ,qr8eEWyKQHM,Farley quarry 20/5/07 suzuki sj water,2007-05-21 07:38:26,"me and my pal rich decided to see how deep the water was as all day id been looking at having a dip, problem was nobody else had but me not giving a dam decided to do it here it is.",6375476,7441,206,0,1021
