,channel_id,video_id,title,date,description,viewcount,likecount,dislikecount,favoritecount,commentcount
0,UCv8vYfhw7Xj0Zmh6Xm42Mow,PNBJ1BUbCSY,TATA MOTORS ख़तरे की घंटी | Tata Motors Share Price | Tata Motors Share News,2019-03-16 14:42:26,"Tata Motors Share , Tata Motors Share Price , Tata Motors Share News, Tata Motors Share Prediction, Tata Motors Share Review, Tata Motors Share Price Today, Tata Motors Share Latest News, Tata Motors Share Target, Tata Motors Share Analysis , Tata Motors Stock , Tata Motors Stock Analysis, Tata Motors Stock Technical Analysis, Tata Motors Stock Latest News, Tata Motors Stock News, Tata Motors Stock 2019, Tata Motors Stock Today, Tata Motors Stock Price, Tata Motors Stock View",51109,1397,69,0,50
1,UCGRIgtqal_cC7V_cD-Zylkg,_8PWvGjWN94,"In Conversation With Pratap Bose, VP, Global Design, Tata Motors | NDTV carandbike",2019-03-19 14:23:13,"Pratap Bose, VP, Global Design, Tata Motors, has a candid chat with Siddharth Vinayak Patankar about how design is an important concept at Tata Motors and how Tata showcases production ready concepts the Geneva Motor Show. This is the 21st consecutive year of participation of Tata Motors at Geneva. Tata Motors says it will make future powertrains ready for electrification and the H2X, the company says, is a great candidate where it can fit an electrified powertrain. Plus, the conversation also delves into future models and launches from Tata Motors as well.  For more from the world of auto, visit: http://bit.ly/LatestAutoNews  SUBSCRIBE to carandbike for your daily dose of Auto: http://bit.ly/CarAndBike  Follow us on Twitter:  https://twitter.com/carandbike  Like us on Facebook:  https://www.facebook.com/carandbike  Download the CarAndBike Android App here: https://play.google.com/store/apps/details?id=com.ndtv.auto&hl=en #PratapBose #SiddharthVinayakPatankar #GenevaMotorShow",2915,77,7,0,22
2,UCy55Eb9sSvoQv7xsf8qzqMg,hfzLlyNQKfQ,"Tata Motors शेयर में बुरी खबर, सावधान रहो, गिरावट आ सकती है",2019-03-16 15:39:26,"What to do with Tata Motors Stock? Should I Invest in Tata Motors Stock? Tata Motors Stock Buying Tips Stock Trading Tips, Stock Trading Strategies, Share Trading Tips, Share Trading Strategies, Intraday Trading Strategies, Intraday Trading Tips, MULTIBAGGER STOCKS 2019",2185,42,4,0,4
3,UCv8vYfhw7Xj0Zmh6Xm42Mow,7aAocxYgHig,"TATA MOTORS | YES BANK | ASHOK LEYLAND | Latest Share Market Tips, Latest Share Market Videos",2019-03-10 14:31:02,"TATA MOTORS , YES BANK, ASHOK LEYLAND, Latest Share Market News, Latest Share News, Latest Share Market Tips, Latest Share Market Videos, Latest Share Market News In Hindi, Latest Share Recommendations , Latest Stock Market News, Latest Stock Market Recommendations , Latest Stock Market News India, Latest Stock News India, Latest Stock Picks, Latest Stock Market Analysis  Market Watch, Latest Stock Market Videos",58180,1561,73,0,53
4,UC1kX4UdFrTh0CvywaC6Gixg,NfQEZ4An1XQ,Tatamotors Best Stock from Nifty at attractive valuation,2018-12-22 16:53:41,"....................................................................... Open online Demat account with                    UPSTOX PLZ. Register on below link http://upstox.com/open-account/?f=9NV6  Benefits of UPSTOX Demat acct. 1.zero brokerage on equity delivery Trading lifetime. 2.  20 times margin. 3. 20/- maximum brokerage on F&O Trades 4. Users friendly App. Of UPSTOX. 5. Highest Trading App  6. Fantastic customers support. 7. Funded by Ratan Tata. ..........................................................  Connect with me.. Email: camsunny755@gmail.com ...................................................................... #tatamotors#tatamotorsshare#Stockmarket,beststockfromniftyatattractivevaluation, tatamotors, tatamotors share, tatamotors Stock, tatamotors latest news, tatamotors electric vehicle, tatamotors share price, tatamotors electric bus, electric car, electric cars,#dara2dreamstockbox, lithium ion, Tesla model s",11481,355,14,0,23
5,UCLimwPQ0_EdNzNy_ODWRAtg,bY2QQtCzxHo,TATA MOTORS WEAPONS CONCEPT !,2017-07-05 10:46:34,"""Please watch: """"INDIAN ARMY NEW ARTILLERY GUN""""  https://www.youtube.com/watch?v=o8PbyhjN7Xk --~-- FOR MORE INFORMATION PLEASE VISIT MY CHANNEL :                    https://www.youtube.com/c/INFOTECHINDIA  FOLLOW US ON :-   1) YOUTUBE ;-  https://www.youtube.com/c/INFOTECHINDIA 2)  TWITTER ;-  https://twitter.com/harshadshelar4        ~~~. TATA MOTORS WEAPONS CONCEPT ~~~  Futuristic Infantry Combat Vehicle (FICV) Armed with Anti tank guided missiles and hard kill active protection system which can kill incoming hostile guided missiles and RPG etc.... TML-led consortium’s Futuristic Infantry Combat Vehicle (FICV), aimed at providing a fully indigenous ICV as a replacement to Indian Army’s existing fleet of BMP-2s The Ministry of Defence is about to select two private sector companies to design the prototype of the futuristic infantry combat vehicle or (FICV). A consortium of Tata Motors and Bharat Forge is vying for this USD 12 billion project. Video Source and credit : Tata Power Strategic Engineering Division's (SED).                    ##########  VIDEOS LINKS  ###########  1) OPERATION GAZHI :  http://riffhold.com/1hQl 2) INDIA SURYA MISSILE :  http://riffhold.com/1hR7 3) INS VIKRANT  :  http://riffhold.com/1hRR 4) BRAHMOS MISSILE – II  :  http://riffhold.com/1hRZ 5) THE GREATE WALL OF INDIA  :  http://riffhold.com/1hRl 6) INDIA SPACE TRAVEL  :  http://riffhold.com/1hRu 7) INS ARIDHAMAN  :  http://riffhold.com/1hS1 8) TEJAS MARK- II  :  http://riffhold.com/1hSA 9) INDIAN ARMY PANTOM GUN (DRDO) :  http://riffhold.com/1hSI 10) THE UZI SUBMACHINE GUN  (FULL  AUTO)   :   http://riffhold.com/1hSV 11) DRS PRICISION GMBH DRS-50 SNIPER RIFLE  :  http://riffhold.com/1hSm 12) INDIA NEW EXCALIBUR RIFLE  (DRDO )  http://riffhold.com/1hT5 13) THE TRACKING POINT RIFKE  :  http://riffhold.com/1hTIINDIA  14) INDIA AGNI – 6 MISSILE  :  http://riffhold.com/1hTN 15) INDIAN ARMY GOT NEW BALLISTIC HELMET :  http://riffhold.com/1hTb 16) INDIA INS KHANDERI  :  http://riffhold.com/1hTm 17) INDIA P8I – POSEIDON AIRCRAFT   :  http://riffhold.com/1hTr 18) INDIA ADVANCE SWATI RADAR   :  http://riffhold.com/1hU4 19) INDIA ADVANCE ANTI RADIATION MISSILE  :  http://riffhold.com/1hUA 20) INDIA  ADVANCE DHANUSH MORTAR  :  http://riffhold.com/1hUP                           *********  KEYWORDS ********** tata motors kestrel, tata motors kestrel and lamb tata motors tata motors weapon concept indian army indian army new weapons 2017""",2932100,42309,2916,0,2342
6,UCqvVj1LkOpA8tjb7RadTvOg,FXDZfIvYTi4,Tata Motors Technical Opinion - Stock Talk with Nitin Bhatia #3 Hindi,2019-02-01 16:00:01,"""Tata Motors Technical Opinion is crucial because it is beaten down stock and is trading at its multi-year low. For some investors, the valuation might look attractive, In this video, we will discuss whether is it a wise decision to buy the Tata motors for long term investment or swing trading.   In the price action strategy, an ascending triangle is forming on the charts of Tata motors. For Tata Motors Technical Opinion, it suggests that it can break out. However, such patterns also result in the breakdown of the stock. However, the closure above the resistance line or below the slope of higher lows will decide the direction of the future movement.  As Tata motors is a highly volatile stock, therefore, for a stock to move up, it is important that volatility should subside. As a thumb rule, high volatility means high risk thus stock may trade range bound.  The correlation between the nifty index and Tata Motors is Zero. Therefore, if it gives buy signal then it can be a good candidate to hold even the market is non-performing.  In option chain analysis, there are NO major support points. However, there are strong resistance points. Therefore, the probability of moving higher is very low.    To become a member/join, please click on following link  https://www.youtube.com/channel/UCqvVj1LkOpA8tjb7RadTvOg/join  If you liked this video, You can """"Subscribe"""" to my YouTube Channel. The link is as follows https://goo.gl/nsh0Oh  By subscribing, You can daily watch a new Educational and Informative video in your own Hindi language.    For more such interesting and informative content, join me at: Website: http://www.nitinbhatia.in/ T: http://twitter.com/nitinbhatia121 G+: https://plus.google.com/+NitinBhatia  #NitinBhatia""",55877,2678,72,0,1017
7,UCj8Bu5lt5ctGLAT96OCE2zg,hOLd4CL5ifA,Excel Vehicles - New Tata Motors 3S CV Dealership Pune - Walk Around Video,2015-07-16 03:40:30,"Excel Vehicles (part of My Car Group) has opened up a new 3S full range Commercial Vehicle dealership near Pune, on 15th July, 2015. Here is a walk around video of the entire facility.",122561,294,44,0,16
8,UCGRIgtqal_cC7V_cD-Zylkg,OQL1nAYS6tk,"In Conversation With Guenter Butschek, MD CEO Tata Motors | NDTV carandbike",2019-03-18 06:07:43,"At Tata Motors’ 21st appearance at the Geneva Motorshow, things have heated up because the company has brought in production vehicles which are all set for their global launch. We get a chance to talk with the company’s CEO and MD, Guenter Butschek who tells us all about this new direction and of course the two new platforms that will lead the  charge for the company in India and other markets  For more from the world of auto, visit: http://bit.ly/LatestAutoNews  SUBSCRIBE to carandbike for your daily dose of Auto: http://bit.ly/CarAndBike  Follow us on Twitter:  https://twitter.com/carandbike  Like us on Facebook:  https://www.facebook.com/carandbike  Download the CarAndBike Android App here: https://play.google.com/store/apps/details?id=com.ndtv.auto&hl=en",3740,73,3,0,13
9,UCw5iqozF0f_P74lytoDJ2Lw,f45dnZXaJck,LPT 1918 5 L TURBOTRON COWL FROM TATA MOTORS,2019-03-20 15:24:02,NEW 5 L TURBOTRON ENGINE BY TATA MOTORS FOR BETTER MILEGE,96,11,0,0,1
